x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
694835.8,7193125.44,694830.6,7193113.55,12.972,4258110,conexao,conexao,PEAD,160.0,7.0
694830.6,7193113.55,694748.0,7192834.54,290.977,4258110,conexao,conexao,PEAD,160.0,7.0
694748.0,7192834.54,694794.42,7192829.5,46.691,4258110,conexao,conexao,PEAD,160.0,7.0
694794.42,7192829.5,694832.02,7192821.88,38.366,4258110,conexao,conexao,PEAD,160.0,7.0
694832.02,7192821.88,694891.74,7192787.62,68.849,4258110,conexao,conexao,PEAD,160.0,7.0
694891.74,7192787.62,694969.34,7192751.25,85.702,4258110,conexao,conexao,PEAD,160.0,7.0
694969.34,7192751.25,694983.18,7192742.27,16.495,4258110,conexao,conexao,PEAD,160.0,7.0
694983.18,7192742.27,694994.72,7192731.47,15.801,4258110,conexao,conexao,PEAD,160.0,7.0
694994.72,7192731.47,695008.35,7192713.81,22.311,4258110,conexao,conexao,PEAD,160.0,7.0
695008.35,7192713.81,695030.68,7192677.96,42.234,4258110,conexao,conexao,PEAD,160.0,7.0
695030.68,7192677.96,695042.28,7192665.8,16.807,4258110,conexao,conexao,PEAD,160.0,7.0
695042.28,7192665.8,695055.06,7192656.35,15.897,4258110,conexao,conexao,PEAD,160.0,7.0
695055.06,7192656.35,695067.14,7192650.05,13.62,4258110,conexao,conexao,PEAD,160.0,7.0
695067.14,7192650.05,695080.91,7192645.29,14.573,4258110,conexao,conexao,PEAD,160.0,7.0
695080.91,7192645.29,695146.28,7192635.79,66.06,4258110,conexao,conexao,PEAD,160.0,7.0
695146.28,7192635.79,695160.65,7192631.8,14.914,4258110,conexao,conexao,PEAD,160.0,7.0
695160.65,7192631.8,695177.88,7192624.63,18.657,4258110,conexao,conexao,PEAD,160.0,7.0
